;1036;1046;1058;1073;1109;1119;1126;1139;1159;1160;1165;1179;1188;1205;1209;1228;1234;1238;1239;1246;1261;1267;1281;1282;1283
1036;0;0.00282;0;0;0;0;0;0;0;0.01226;0.00447;0.03031;0;0;0.01226;0;0;0.00431;0;0;0;0.01706;0;0;0
1046;0.00282;0;0;0.00182;0;0;0;0;0.00248;0.01358;0.04174;0;0;0.00646;0;0.00398;0;0;0;0.00248;0.00613;0.00166;0.00663;0.00431;0.00497
1058;0;0;0;0.00447;0.00464;0;0.01193;0;0;0;0.00613;0.00182;0;0.0058;0;0;0;0;0.00613;0;0.00182;0;0.00248;0.00182;0.00779
1073;0;0.00182;0.00447;0;0;0;0.05897;0.01209;0;0;0.00282;0;0;0.00464;0;0.00331;0;0;0;0;0;0;0;0;0
1109;0;0;0.00464;0;0;0;0;0;0;0;0;0;0.00215;0.00464;0;0;0.00265;0;0;0;0;0.00182;0;0.00729;0.00663
1119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00298;0;0;0;0;0;0
1126;0;0;0.01193;0.05897;0;0;0;0.02452;0;0.00166;0.00447;0;0;0.01375;0;0.00431;0;0;0;0;0;0;0;0;0
1139;0;0;0;0.01209;0;0;0.02452;0;0;0;0;0;0;0.00447;0;0;0;0;0.00199;0;0;0;0;0;0
1159;0;0.00248;0;0;0;0;0;0;0;0;0.00199;0.00199;0;0.00414;0.00182;0.05019;0;0;0;0;0;0;0;0;0
1160;0.01226;0.01358;0;0;0;0;0.00166;0;0;0;0.01375;0.00712;0.02071;0;0;0;0;0.00315;0;0;0;0.01275;0.00166;0.00248;0
1165;0.00447;0.04174;0.00613;0.00282;0;0;0.00447;0;0.00199;0.01375;0;0;0;0.0159;0;0.01806;0;0;0;0.00182;0.00547;0.00663;0.03528;0.00812;0.00431
1179;0.03031;0;0.00182;0;0;0;0;0;0.00199;0.00712;0;0;0;0.00248;0.08382;0;0;0.01044;0;0;0;0.02965;0;0;0.00215
1188;0;0;0;0;0.00215;0;0;0;0;0.02071;0;0;0;0.00248;0.00812;0;0;0.00514;0;0;0;0;0;0;0
1205;0;0.00646;0.0058;0.00464;0.00464;0;0.01375;0.00447;0.00414;0;0.0159;0.00248;0.00248;0;0.01541;0.01027;0.00514;0.00398;0;0.00182;0.00878;0;0.00215;0.00762;0.0106
1209;0.01226;0;0;0;0;0;0;0;0.00182;0;0;0.08382;0.00812;0.01541;0;0;0.00166;0.03909;0;0;0;0.02369;0;0.00166;0.00215
1228;0;0.00398;0;0.00331;0;0;0.00431;0;0.05019;0;0.01806;0;0;0.01027;0;0;0;0;0;0;0;0;0.00613;0.00166;0
1234;0;0;0;0;0.00265;0;0;0;0;0;0;0;0;0.00514;0.00166;0;0;0;0;0;0;0;0;0.00182;0
1238;0.00431;0;0;0;0;0;0;0;0;0.00315;0;0.01044;0.00514;0.00398;0.03909;0;0;0;0;0;0;0.00696;0;0;0
1239;0;0;0.00613;0;0;0.00298;0;0.00199;0;0;0;0;0;0;0;0;0;0;0;0;0.01971;0;0;0;0.04406
1246;0;0.00248;0;0;0;0;0;0;0;0;0.00182;0;0;0.00182;0;0;0;0;0;0;0;0;0;0.00166;0.00166
1261;0;0.00613;0.00182;0;0;0;0;0;0;0;0.00547;0;0;0.00878;0;0;0;0;0.01971;0;0;0;0;0;0.01226
1267;0.01706;0.00166;0;0;0.00182;0;0;0;0;0.01275;0.00663;0.02965;0;0;0.02369;0;0;0.00696;0;0;0;0;0;0.00182;0.00232
1281;0;0.00663;0.00248;0;0;0;0;0;0;0.00166;0.03528;0;0;0.00215;0;0.00613;0;0;0;0;0;0;0;0;0
1282;0;0.00431;0.00182;0;0.00729;0;0;0;0;0.00248;0.00812;0;0;0.00762;0.00166;0.00166;0.00182;0;0;0.00166;0;0.00182;0;0;0.00464
1283;0;0.00497;0.00779;0;0.00663;0;0;0;0;0;0.00431;0.00215;0;0.0106;0.00215;0;0;0;0.04406;0.00166;0.01226;0.00232;0;0.00464;0
