1010;32.654;26;20;326
1013;0;10;27;300
1022;32;16;15;0
1028;2;10;18;500
1030;500;2;19;1000
1031;30;27;21;1080
1036;23;60;17.5;811
1037;28;35;17;500
1039;6;13;19;1100
1040;27;45;12;750
1042;21;25;20;870
1060;0;85;21;0
1065;5;20;28;1100
1079;30;28;21;300
1082;0.003;100;0;150
1091;65;15;18;600
1096;20;30;18;150
1103;1;75;21;11235
1104;7;25;18;850
1109;13;18;13;1000
1127;25;30;14;900
1131;0;20;20;3500
1133;20;30;16;5000
1135;20;30;15;450
1136;26;80;18;200
1139;40;26;22;500
1157;25;40;18;300
1159;50;23;16;100
1165;26;35;23;1000
1167;1.53;70;20;10000
1169;36;38;21;2000
1185;30;40;10;3000
1187;20;60;23;200
1188;0.007;35;21;600
1194;32.3;30;22;3000
1197;0.15;50;20;2500
1204;30;15;19;2000
1208;20;38;14;1350
1209;1.7;35;17;686
1211;0;30;25;100
1212;38.571;40;20;378
1217;21;40;14;150
1221;20;30;14;1600
1223;0.007;20;28;4000
1234;30;40;18;300
1235;31;45;16;945
1237;32.654;20;20;3000
1242;26;20;21;120
1249;28;200;14;300
1252;24;23;18;1300
1253;0.01;15;23;300
1259;0.042;30;17;800
1261;0.005;40;21;1000
1263;27;30;19;600
1264;0;18;26;400
1266;15;30;19;300
1267;20;200;19;350
1276;26;92;14;490
1279;0;150;18;500
1291;45;25;30;350
